,seller_id,instances,seller_zip_code_prefix,seller_city,seller_state,geolocation_lat,geolocation_lng
0,6560211a19b47992c3666cc44a7e94c0,2033,5849,sao paulo,SP,-23.649432494931595,-46.75346572696676
2,4a3ca9315b744ce9f8e9374361493884,1987,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
51,1f50f920176fa81dab994f9023523100,1931,15025,sao jose do rio preto,SP,-20.793901781220352,-49.37676770056664
55,cc419e0650a3c5ba77189a1882b7556a,1775,9015,santo andre,SP,-23.653393679987307,-46.51326665875125
58,da8622b14eb17ae2831f4ac5b9dab84a,1551,13405,piracicaba,SP,-22.692312891194,-47.65325640397596
61,955fee9216a65b617aa5c0531780ce60,1499,4782,sao paulo,SP,-23.68211925950717,-46.70188324132953
63,1025f0e2d44d7041d6cf58b6550e0bfa,1428,3204,sao paulo,SP,-23.5938663075192,-46.55547278711988
64,7c67e1448b00f6e969d365cea6b010ab,1364,8577,itaquaquecetuba,SP,-23.479473101948884,-46.35785125828629
67,ea8482cd71df3c1969d7b9473ff13abc,1203,4160,sao paulo,SP,-23.623071118241057,-46.60293659755326
70,7a67c85e85bb2ce8582c35f2203ad736,1171,3426,sao paulo,SP,-23.5495014410237,-46.53142763183104
71,4869f7a5dfa277a7dca6462dcf3b52b2,1156,14840,guariba,SP,-21.348960841869747,-48.21621476021254
72,3d871de0142ce09b7081e2b9d1733cb1,1147,13232,campo limpo paulista,SP,-23.20432952477577,-46.73918010099993
74,8b321bb669392f5163d04c59e235e066,1018,1212,sao paulo,SP,-23.53628778573488,-46.63693403996196
3,cca3071e3e9bb7d12640c9fbe2301306,830,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
77,620c87c171fb2a6dd6e8bb4dec959fc6,798,25645,petropolis,RJ,-22.53314933458864,-43.18760088922973
78,a1043bafd471dff536d0c462352beb48,770,37175,ilicinea,MG,-20.934634499999994,-45.81847905211535
79,e9779976487b77c6d4ac45f75ec7afe9,750,11701,praia grande,SP,-24.000695341544034,-46.39994992186512
82,f8db351d8c4c4c22c6835c19a46f01b0,724,13324,salto,SP,-23.202326933666114,-47.2971294425529
4,d2374cbcbb3ca4ab1086534108cc3ab7,631,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
5,391fc6631aebcf3004804e51b40bcf1e,613,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
83,fa1c13f2614d7b5c4749cbc52fecda94,586,13170,sumare,SP,-22.81072667999825,-47.18160686369219
85,7d13fca15225358621be4086e1eb0964,578,14050,ribeirao preto,SP,-21.15609509547579,-47.7734463702464
87,128639473a139ac0f3e5f5ade55873a5,560,87050,maringa,PR,-23.42035752421628,-51.90568228249511
6,1835b56ce799e6a4dc4eddc053f04066,558,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
95,46dc3b2cc0980fb8ec44634e21d2718e,542,22240,rio de janeiro,RJ,-22.931076279214015,-43.178304206215024
96,d91fb3b7d041e83b64a00a3edfb37e4f,536,11704,praia grande,SP,-24.013616718712665,-46.43399684827067
7,1900267e848ceeba8fa32d80c1a5f5a8,529,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
102,53e4c6e0f4312d4d2107a8c9cddf45cd,522,13920,pedreira,SP,-22.71188902267404,-46.65813811804285
98,85d9eb9ddc5d00ca9336a2219c97bb13,522,31255,belo horizonte,MG,-19.858588848563134,-43.94175915987643
111,4e922959ae960d389249c378d1c939f5,454,12327,jacarei,SP,-23.292970791007583,-45.96501517262971
114,8581055ce74af1daba164fdbd55a40de,435,7112,guarulhos,SP,-23.465304114698757,-46.50903629156326
8,8160255418d5aaa7dbdc9f4c64ebda44,431,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
115,897060da8b9a21f655304d50fd935913,430,14092,ribeirao preto,SP,-21.172655346932885,-47.75772416625401
120,9f505651f4a6abe901a56cdc21508025,430,4102,sao paulo,SP,-23.5784451895666,-46.6300893712196
125,2138ccb85b11a4ec1e37afbd1c8eda1f,429,8250,sao paulo,SP,-23.53350440191748,-46.43297731712002
121,dbc22125167c298ef99da25668e1011f,429,37564,borda da mata,MG,-22.183679336231457,-46.0597387675012
126,218d46b86c1881d022bce9c68a7d4b15,427,14070,ribeirao preto,SP,-21.104959452680458,-47.78475147016561
127,53243585a1d6dc2643021fd1853d8905,410,42738,lauro de freitas,BA,-12.867804672619783,-38.28932822952854
129,16090f2ca825584b5a147ab24aa30c86,410,12940,atibaia,SP,-23.10083372439267,-46.53847208534824
134,06a2c3af7b3aee5d69171b0e14f0ee87,405,65072,sao luis,MA,-2.484892213117228,-44.23354980623605
135,4d6d651bd7684af3fffabd5f08d12e5a,395,17209,jau,SP,-22.26059924039086,-48.533168702752576
137,77530e9772f57a62c906e1c21538ab82,389,80310,curitiba,PR,-25.4474321152592,-49.30266917430316
140,de722cd6dad950a92b7d4f82673f8833,379,51250,recife,PE,-8.131391999999995,-34.92253062980726
141,c826c40d7b19f62a09e2d7c5e7295ee2,373,7133,guarulhos,SP,-23.430830982514863,-46.50861213918864
142,92eb0f42c21942b6552362b9b114707d,365,3504,sao paulo,SP,-23.533537620318523,-46.53356911296092
143,b2ba3715d723d245138f291a6fe42594,363,3470,sao paulo,SP,-23.56623798656249,-46.518909910208365
144,7299e27ed73d2ad986de7f7c77d919fa,361,38440,araguari,MG,-18.640554414209557,-48.18017232683411
145,5dceca129747e92ff8ef7a997dc4f8ca,346,13450,santa barbara d´oeste,SP,-22.748539556694343,-47.400989299490014
147,4c2b230173bb36f9b240f2b8ac11786e,346,3933,sao paulo,SP,-23.58209647998613,-46.494979863033045
148,7ddcbb64b5bc1ef36ca8c151f6ec77df,343,4403,sao paulo,SP,-23.665494939494494,-46.65903276395058
151,7e93a43ef30c4f03f38b393420bc753a,340,6429,barueri,SP,-23.48450995849779,-46.94457099642419
149,ef506c96320abeedfb894c34db06f478,340,3569,sao paulo,SP,-23.54026727338563,-46.48801196142304
152,fa40cc5b934574b62717c68f3d678b6d,340,2310,sao paulo,SP,-23.46604099417162,-46.59723140896761
155,87142160b41353c4e5fca2360caf6f92,339,90230,porto alegre,RS,-29.987027221626164,-51.19007361226844
157,c70c1b0d8ca86052f45a432a38b73958,338,13186,hortolandia,SP,-22.871477266327357,-46.90922357479745
158,7142540dd4c91e2237acb7e911c4eba2,331,16301,penapolis,SP,-21.419392278779373,-50.06115861180214
159,1da3aeb70d7989d1e6d9b0e887f97c23,328,4265,sao paulo,SP,-23.585207926986616,-46.61123503719199
112,70a12e78e608ac31179aea7f8422044b,328,12327,jacarei,SP,-23.292970791007583,-45.96501517262971
160,855668e0971d4dfd7bef1b6a4133b41b,327,13257,itatiba,SP,-22.97554365755215,-46.842054398219176
161,634964b17796e64304cadf1ad3050fb7,326,21840,rio de janeiro,RJ,-22.827187090195668,-43.28920644393789
162,c3cfdc648177fdbbbb35635a37472c53,307,80610,curitiba,PR,-25.425523320012683,-49.243310770182994
163,fe2032dab1a61af8794248c8196565c9,306,13030,campinas,SP,-22.919047250620377,-47.06835209394658
166,88460e8ebdecbfecb5f9601833981930,302,87030,maringa,PR,-23.40534176672944,-51.91273824523169
168,37be5a7c751166fbc5f8ccba4119e043,281,4248,sao paulo,SP,-23.61015442131686,-46.594256208115446
169,562fc2f2c2863ab7e79a9e4388a58a14,270,13070,campinas,SP,-22.826654114733348,-47.06735836983537
178,25c5c91f63607446a97b143d2d535d31,269,35680,itauna,MG,-20.05974736659816,-44.543699863077535
177,1554a68530182680ad5c8b042c3ab563,269,37580,monte siao,MG,-22.417668,-46.54246849999996
173,e9bc59e7b60fc3063eb2290deda4cced,269,87083,maringa,PR,-23.37426327533261,-51.89708064823202
180,0ea22c1cfbdc755f86b9b54b39c16043,269,35700,sete lagoas,MG,-19.421246029931066,-44.20746817766543
183,17e34d8224d27a541263c4c64b11a56b,268,14085,riberao preto,SP,-21.154204456287147,-47.79092375164423
187,a3a38f4affed601eb87a97788c949667,263,89204,joinville,SC,-26.27623549624909,-48.84442915598129
188,c3867b4666c7d76867627c2f7fb22e21,259,14580,guara,SP,-20.423507503787476,-47.76566299999996
189,e5a3438891c0bfdb9394643f95273d8e,255,13483,limeira,SP,-22.54838579156328,-47.37615793963873
9,dc4a0fc896dc34b0d5bfec8438291c80,249,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
190,0241d4d5d36f10f80c644447315af0bd,246,80330,curitiba,PR,-25.464787589499764,-49.29774085261703
192,7aa4334be125fcdd2ba64b3180029f14,240,18500,laranjal paulista,SP,-22.92518110343831,-47.82443718557545
196,37515688008a7a40ac93e3b2e4ab203f,240,17900,dracena,SP,-21.44763175838232,-51.51278134962513
10,d1c281d3ae149232351cd8c8cc885f0d,240,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
197,001cca7ae9ae17fb1caed9dfb1094831,239,29156,cariacica,ES,-20.25480609977845,-40.39072252000786
198,f457c46070d02cadd8a68551231220dd,234,87047,maringa,PR,-23.40153,-51.86655018751914
199,41b39e28db005d9731d9d485a83b4c38,231,9220,santo andre,SP,-23.61147723313523,-46.51770185903968
202,f7ba60f8c3f99e7ee4042fdef03b70c4,230,9628,sao bernardo do campo,SP,-23.66000124008879,-46.56300579170751
205,7040e82f899a04d1b434b795a43b4617,228,1026,sao paulo,SP,-23.53889535607948,-46.62849025456588
203,8d956fec2e4337affcb520f56fd8cbfd,228,9780,sao bernardo do campo,SP,-23.642546081084767,-46.52870684564752
213,9b013e03b2ab786505a1d3b5c0756754,225,11450,vicente de carvalho,SP,-23.934471411881795,-46.29740339272321
214,4b9750c8ad28220fe6702d4ecb7c898f,222,13484,limeira,SP,-22.540087289197345,-47.40224465514456
215,e26901d5ab434ce92fd9b5c256820a4e,221,9350,maua,SP,-23.66651400839517,-46.4357064708369
221,1c129092bf23f28a5930387c980c0dfc,220,2972,sao paulo,SP,-23.48029674271453,-46.70932575704012
218,0c8380b62e38e8a1e6adbeba7eb9688c,220,37410,tres coracoes,MG,-21.61831059117201,-45.22513849999996
222,4830e40640734fc1c52cd21127c341d4,219,3573,sao paulo,SP,-23.490165226758585,-46.48772482584106
223,6edacfd9f9074789dad6d62ba7950b9c,219,7135,guarulhos,SP,-23.417843060505504,-46.46417370910254
224,7178f9f4dd81dcef02f62acdf8151e01,216,89560,videira,SC,-26.979588221276423,-51.067652213310765
226,2eb70248d66e0e3ef83659f71b244378,212,13101,campinas,SP,-22.878061010795907,-46.99584736984238
227,ceaec5548eefc6e23e6607c5435102e7,211,3821,sao paulo,SP,-23.487265487650745,-46.41349357562471
228,0b90b6df587eb83608a64ea8b390cf07,210,87025,maringa,PR,-23.368720587297155,-51.91717930762838
232,86ccac0b835037332a596a33b6949ee1,210,89041,blumenau,SC,-26.898986533913074,-49.05923500152643
235,cab85505710c7cb9b720bceb52b01cee,209,2252,sao paulo,SP,-23.47739185928214,-46.58603923841536
236,f262cbc1c910c83959f849465454ddd3,207,3564,sao paulo,SP,-23.53321650340715,-46.49077190743839
237,9c0e69c7bf2619675bbadf47b43f655a,206,12230,sao jose dos campos,SP,-23.217522914795985,-45.880651592561605
240,54a1852d1b8f10312c55e906355666ee,204,13456,santa barbara d'oeste,SP,-22.746705572542893,-47.36112862844724
243,c003204e1ab016dfa150abc119207b24,202,7790,cajamar,SP,-23.284309622721626,-46.66424556195562
244,813348c996469b40f2e028d5429d3495,202,13206,jundiai,SP,-23.202978999163275,-46.87285016472387
245,f45122a9ab94eb4f3f8953578bc0c560,200,13419,piracicaba,SP,-22.72057959075132,-47.634237700271065
246,cbd996ad3c1b7dc71fd0e5f5df9087e2,196,15081,sao jose do rio preto,SP,-20.83463354943257,-49.33374674716971
248,98dac6635aee4995d501a3972e047414,195,2030,sao paulo,SP,-23.50154661226844,-46.6245530471753
250,213b25e6f54661939f11710a6fddb871,194,13321,salto,SP,-23.181540563256817,-47.277671087704896
251,95e03ca3d4146e4011985981aeb959b9,193,21210,rio de janeiro,RJ,-22.837742528997666,-43.288533
253,0dd184061fb0eaa7ca37932c68ab91c5,193,7031,guarulhos,SP,-23.490229756592974,-46.5428351726172
